KOI,pRad,pRad_err,pPer,pPer_err,pNum 
id,earth_rad,earth_rad,days,days,int 
K03371.01,1.729,0.1172,58.1266033,0.0006476,2.0 
K03384.02,1.637,0.1643,19.9157725,0.0001284,1.0 
K03384.01,1.4226,0.3368,10.54842565,5.9e-05,2.0 
K03403.01,2.4079,0.1155,39.8189932,0.0002907,1.0 
K03422.01,2.0715,0.1,40.1438531,0.0003278,1.0 
K03436.01,1.187,0.124,44.2008,0.0006553,1.0 
K03438.01,1.148,0.238,14.5564533,0.0001121,1.0 
K03451.01,1.507,0.2091,10.90751111,9.39e-05,1.0 
K03456.01,0.9045,0.3065,30.8609366,0.0002252,1.0 
K03456.02,0.9463,0.2872,486.12702,0.02185,2.0 
K03465.01,0.772,0.073,16.0506213,0.0001447,1.0 
K03474.01,1.8018,0.0705,52.607947,0.00118,1.0 
K03497.01,1.3239,0.109,20.35972599,5.87e-05,1.0 
K03503.01,0.9933,0.0848,21.1875846,0.0004476,1.0 
K03503.02,1.208,0.104,31.8245304,0.0007928,2.0 
K03791.01,7.6876,0.051,440.786134,0.001181,1.0 
K03791.02,7.0141,0.2847,220.1303357,0.0006389,2.0 
K03823.01,5.814,0.1179,202.117533,0.0003408,1.0 
K03835.01,2.5762,0.1468,47.14840805,7.92e-05,1.0 
K03864.02,0.897,0.1885,18.2574043,0.0001028,2.0 
K03867.01,1.551,1.0759,0.93875077,1.16e-06,1.0 
K03876.01,1.9419,0.9793,19.5777657,0.0001609,1.0 
K03892.01,0.922,0.297,2.416601183,5.28e-06,1.0 
K03913.01,3.2714,0.2136,0.582895567,2.71e-07,1.0 
K03925.01,3.231,0.055,9.2077989,0.0004061,1.0 
K03925.02,1.5897,0.0835,2.5904434,0.0001715,2.0 
K03925.03,1.5858,0.2165,5.3227406,0.0006331,3.0 
K03936.02,1.5726,0.0475,13.02678441,4.56e-05,1.0 
K03991.01,1.4148,0.4319,1.570590666,3.29e-06,1.0 
K04002.01,1.261,0.3472,0.524176094,7.18e-07,1.0 
K04004.01,1.0677,0.1455,4.94328533,2.86e-05,1.0 
K04005.01,2.369,0.1539,178.140456,0.001873,1.0 
K04014.01,2.982,0.2112,234.244257,0.003537,1.0 
K04024.01,1.1399,0.2204,8.40691199,2.7e-05,1.0 
K04032.01,0.926,0.083,3.95116882,1.63e-05,1.0 
K04032.03,1.007,0.0983,5.99273738,2.26e-05,2.0 
K04032.02,0.776,0.143,2.89223021,1.47e-05,3.0 
K04032.04,0.941,0.456,5.10115756,2.41e-05,4.0 
K04036.01,1.685,0.1016,168.811174,0.001271,1.0 
K04053.01,0.8514,0.0535,1.419749146,4.93e-06,1.0 
K04054.01,2.1442,0.0615,169.133455,0.001402,1.0 
K04060.01,2.929,0.048,225.262123,0.002511,1.0 
K04067.01,2.882,0.055,9.6886646,0.0005349,1.0 
K04072.01,1.0159,0.1185,0.692979676,1.49e-06,1.0 
K04098.01,0.7012,0.0862,1.121732561,3.36e-06,1.0 
K04103.01,2.978,0.1863,184.771853,0.001546,1.0 
K04103.02,1.1323,0.1665,14.2372486,0.0002224,2.0 
K04109.01,0.645,0.18,0.655937713,2.06e-06,1.0 
K04121.01,2.4874,0.1296,198.088774,0.002456,1.0 
K04129.01,0.586,0.0706,2.31482215,1.25e-05,1.0 
K04136.01,1.4079,0.1805,2.41749255,2.37e-05,1.0 
K04144.01,1.03,0.1376,0.975309246,2.54e-06,1.0 
K04146.01,0.698,0.0425,3.50470358,1.61e-05,1.0 
K04156.01,1.3509,0.2263,4.85026423,7.22e-05,1.0 
K04159.01,0.788,0.0415,0.971915428,3.79e-06,1.0 
K04160.01,0.88,0.1922,3.03195744,1.31e-05,1.0 
K04184.01,0.9775,0.0605,6.08004821,1.79e-05,1.0 
K04188.01,0.872,0.0445,6.96355103,3.82e-05,1.0 
K04190.01,1.259,0.182,3.43276598,2.98e-05,1.0 
K04199.01,0.73,0.057,0.539915238,1.35e-06,1.0 
K04204.01,1.294,0.057,20.925392,0.0002521,1.0 
K04222.01,0.9912,0.0936,3.38555488,1.6e-05,1.0 
K04230.01,1.363,0.0525,5.49548621,2.92e-05,1.0 
K04245.01,2.432,0.1795,24.668553,0.0003507,1.0 
K04246.01,0.895,0.048,6.98471973,5.94e-05,1.0 
K04246.02,0.844,0.084,8.7562403,0.0001023,2.0 
K04251.01,1.4152,0.0943,6.23968215,1.69e-05,1.0 
K04288.01,0.824,0.09,6.28385491,4.25e-05,1.0 
